"data","tipo_avaliacao","valor","instituto","serie","controle_tempo"
"2011-03-01","Nao sabe",11,"ibope",NA,1
"2011-03-16","Nao sabe",12,"datafolha",NA,1
"2011-06-10","Nao sabe",3,"datafolha",8.66666666666667,0
"2011-07-01","Nao sabe",4,"ibope",6.33333333333333,0
"2011-08-04","Nao sabe",3,"datafolha",3.33333333333333,0
"2011-09-01","Nao sabe",4,"ibope",3.66666666666667,0
"2011-12-01","Nao sabe",3,"ibope",3.33333333333333,0
"2012-01-19","Nao sabe",2,"datafolha",3,0
"2012-03-01","Nao sabe",2,"ibope",2.33333333333333,0
"2012-04-19","Nao sabe",1,"datafolha",1.66666666666667,0
"2012-06-01","Nao sabe",1,"ibope",1.33333333333333,0
"2012-08-09","Nao sabe",1,"datafolha",1,0
"2012-09-01","Nao sabe",1,"ibope",1,0
"2012-12-01","Nao sabe",1,"ibope",1,0
"2012-12-13","Nao sabe",1,"datafolha",1,0
"2013-03-01","Nao sabe",1,"ibope",1,0
"2013-03-21","Nao sabe",1,"datafolha",1,0
"2013-06-01","Nao sabe",1,"ibope",1,0
"2013-06-07","Nao sabe",1,"datafolha",1,0
"2013-06-28","Nao sabe",1,"datafolha",1,0
"2013-07-01","Nao sabe",1,"ibope",1,0
"2013-08-09","Nao sabe",1,"datafolha",1,0
"2013-09-01","Nao sabe",1,"ibope",1,0
"2013-10-11","Nao sabe",1,"datafolha",1,0
"2013-11-01","Nao sabe",1,"ibope",1,0
"2013-11-29","Nao sabe",1,"datafolha",1,0
"2014-02-20","Nao sabe",1,"datafolha",1,0
"2014-03-01","Nao sabe",1,"ibope",1,0
"2014-04-03","Nao sabe",1,"datafolha",1,0
"2014-05-08","Nao sabe",1,"datafolha",1,0
"2014-06-01","Nao sabe",1,"ibope",1,0
"2014-06-05","Nao sabe",1,"datafolha",1,0
"2014-07-02","Nao sabe",1,"datafolha",1,0
"2014-07-16","Nao sabe",1,"datafolha",1,0
"2014-08-15","Nao sabe",1,"datafolha",1,0
"2014-08-29","Nao sabe",1,"datafolha",1,0
"2014-09-01","Nao sabe",1,"ibope",1,0
"2014-09-03","Nao sabe",1,"datafolha",1,0
"2014-09-09","Nao sabe",1,"datafolha",1,0
"2014-09-18","Nao sabe",2,"datafolha",1.33333333333333,0
"2014-09-26","Nao sabe",1,"datafolha",1.33333333333333,0
"2014-09-30","Nao sabe",1,"datafolha",1.33333333333333,0
"2014-10-02","Nao sabe",2,"datafolha",1.33333333333333,0
"2014-10-09","Nao sabe",1,"datafolha",1.33333333333333,0
"2014-10-15","Nao sabe",1,"datafolha",1.33333333333333,0
"2014-10-21","Nao sabe",1,"datafolha",1,0
"2014-12-01","Nao sabe",1,"ibope",1,0
"2014-12-03","Nao sabe",1,"datafolha",1,0
"2015-02-05","Nao sabe",1,"datafolha",1,0
"2015-03-01","Nao sabe",1,"ibope",1,0
"2015-03-17","Nao sabe",1,"datafolha",1,0
"2015-04-10","Nao sabe",1,"datafolha",1,0
"2015-06-01","Nao sabe",1,"ibope",1,0
"2015-06-18","Nao sabe",1,"datafolha",1,0
"2015-08-05","Nao sabe",1,"datafolha",1,0
"2015-09-01","Nao sabe",1,"ibope",1,0
"2015-11-26","Nao sabe",1,"datafolha",1,0
"2015-12-01","Nao sabe",1,"ibope",1,0
"2011-03-01","Otimo-bom",56,"ibope",NA,1
"2011-03-16","Otimo-bom",47,"datafolha",NA,1
"2011-06-10","Otimo-bom",49,"datafolha",50.6666666666667,0
"2011-07-01","Otimo-bom",48,"ibope",48,0
"2011-08-04","Otimo-bom",48,"datafolha",48.3333333333333,0
"2011-09-01","Otimo-bom",51,"ibope",49,0
"2011-12-01","Otimo-bom",57,"ibope",52,0
"2012-01-19","Otimo-bom",59,"datafolha",55.6666666666667,0
"2012-03-01","Otimo-bom",56,"ibope",57.3333333333333,0
"2012-04-19","Otimo-bom",64,"datafolha",59.6666666666667,0
"2012-06-01","Otimo-bom",59,"ibope",59.6666666666667,0
"2012-08-09","Otimo-bom",62,"datafolha",61.6666666666667,0
"2012-09-01","Otimo-bom",62,"ibope",61,0
"2012-12-01","Otimo-bom",62,"ibope",62,0
"2012-12-13","Otimo-bom",62,"datafolha",62,0
