"data","tipo_avaliacao","valor","instituto"
"5/2/15","Ruim-Pessimo",44,"datafolha"
"17/3/15","Ruim-Pessimo",62,"datafolha"
"10/4/15","Ruim-Pessimo",60,"datafolha"
"18/6/15","Ruim-Pessimo",65,"datafolha"
"5/8/15","Ruim-Pessimo",71,"datafolha"
"26/11/15","Ruim-Pessimo",67,"datafolha"
"16/3/11","Ruim-Pessimo",7,"datafolha"
"10/6/11","Ruim-Pessimo",10,"datafolha"
"4/8/11","Ruim-Pessimo",11,"datafolha"
"19/1/12","Ruim-Pessimo",6,"datafolha"
"19/4/12","Ruim-Pessimo",5,"datafolha"
"9/8/12","Ruim-Pessimo",7,"datafolha"
"13/12/12","Ruim-Pessimo",7,"datafolha"
"21/3/13","Ruim-Pessimo",7,"datafolha"
"7/6/13","Ruim-Pessimo",9,"datafolha"
"28/6/13","Ruim-Pessimo",25,"datafolha"
"9/8/13","Ruim-Pessimo",22,"datafolha"
"11/10/13","Ruim-Pessimo",19,"datafolha"
"29/11/13","Ruim-Pessimo",17,"datafolha"
"20/2/14","Ruim-Pessimo",21,"datafolha"
"3/4/14","Ruim-Pessimo",25,"datafolha"
"8/5/14","Ruim-Pessimo",26,"datafolha"
"5/6/14","Ruim-Pessimo",28,"datafolha"
"2/7/14","Ruim-Pessimo",26,"datafolha"
"16/7/14","Ruim-Pessimo",29,"datafolha"
"15/8/14","Ruim-Pessimo",23,"datafolha"
"29/8/14","Ruim-Pessimo",26,"datafolha"
"3/9/14","Ruim-Pessimo",24,"datafolha"
"9/9/14","Ruim-Pessimo",24,"datafolha"
"18/9/14","Ruim-Pessimo",24,"datafolha"
"26/9/14","Ruim-Pessimo",22,"datafolha"
"30/9/14","Ruim-Pessimo",23,"datafolha"
"2/10/14","Ruim-Pessimo",23,"datafolha"
"9/10/14","Ruim-Pessimo",22,"datafolha"
"15/10/14","Ruim-Pessimo",21,"datafolha"
"21/10/14","Ruim-Pessimo",20,"datafolha"
"3/12/14","Ruim-Pessimo",24,"datafolha"
"5/2/15","Regular",33,"datafolha"
"17/3/15","Regular",24,"datafolha"
"10/4/15","Regular",27,"datafolha"
"18/6/15","Regular",24,"datafolha"
"5/8/15","Regular",20,"datafolha"
"26/11/15","Regular",22,"datafolha"
"16/3/11","Regular",34,"datafolha"
"10/6/11","Regular",38,"datafolha"
"4/8/11","Regular",39,"datafolha"
"19/1/12","Regular",33,"datafolha"
"19/4/12","Regular",29,"datafolha"
"9/8/12","Regular",30,"datafolha"
"13/12/12","Regular",30,"datafolha"
"21/3/13","Regular",27,"datafolha"
"7/6/13","Regular",33,"datafolha"
"28/6/13","Regular",43,"datafolha"
"9/8/13","Regular",42,"datafolha"
"11/10/13","Regular",42,"datafolha"
"29/11/13","Regular",41,"datafolha"
"20/2/14","Regular",41,"datafolha"
"3/4/14","Regular",39,"datafolha"
"8/5/14","Regular",38,"datafolha"
"5/6/14","Regular",38,"datafolha"
"2/7/14","Regular",38,"datafolha"
"16/7/14","Regular",38,"datafolha"
"15/8/14","Regular",38,"datafolha"
"29/8/14","Regular",39,"datafolha"
"3/9/14","Regular",38,"datafolha"
"9/9/14","Regular",38,"datafolha"
"18/9/14","Regular",38,"datafolha"
"26/9/14","Regular",39,"datafolha"
"30/9/14","Regular",37,"datafolha"
"2/10/14","Regular",36,"datafolha"
"9/10/14","Regular",38,"datafolha"
"15/10/14","Regular",38,"datafolha"
"21/10/14","Regular",37,"datafolha"
"3/12/14","Regular",33,"datafolha"
"5/2/15","Otimo-bom",23,"datafolha"
"17/3/15","Otimo-bom",13,"datafolha"
"10/4/15","Otimo-bom",13,"datafolha"
"18/6/15","Otimo-bom",10,"datafolha"
"5/8/15","Otimo-bom",8,"datafolha"
"26/11/15","Otimo-bom",10,"datafolha"
"16/3/11","Otimo-bom",47,"datafolha"
"10/6/11","Otimo-bom",49,"datafolha"
"4/8/11","Otimo-bom",48,"datafolha"
"19/1/12","Otimo-bom",59,"datafolha"
"19/4/12","Otimo-bom",64,"datafolha"
"9/8/12","Otimo-bom",62,"datafolha"
"13/12/12","Otimo-bom",62,"datafolha"
"21/3/13","Otimo-bom",65,"datafolha"
"7/6/13","Otimo-bom",57,"datafolha"
"28/6/13","Otimo-bom",30,"datafolha"
"9/8/13","Otimo-bom",36,"datafolha"
"11/10/13","Otimo-bom",38,"datafolha"
"29/11/13","Otimo-bom",41,"datafolha"
"20/2/14","Otimo-bom",41,"datafolha"
"3/4/14","Otimo-bom",36,"datafolha"
"8/5/14","Otimo-bom",35,"datafolha"
"5/6/14","Otimo-bom",33,"datafolha"
"2/7/14","Otimo-bom",35,"datafolha"
"16/7/14","Otimo-bom",32,"datafolha"
"15/8/14","Otimo-bom",38,"datafolha"
"29/8/14","Otimo-bom",35,"datafolha"
"3/9/14","Otimo-bom",36,"datafolha"
"9/9/14","Otimo-bom",36,"datafolha"
"18/9/14","Otimo-bom",37,"datafolha"
"26/9/14","Otimo-bom",37,"datafolha"
"30/9/14","Otimo-bom",39,"datafolha"
"2/10/14","Otimo-bom",39,"datafolha"
"9/10/14","Otimo-bom",39,"datafolha"
"15/10/14","Otimo-bom",40,"datafolha"
"21/10/14","Otimo-bom",42,"datafolha"
"3/12/14","Otimo-bom",42,"datafolha"
"5/2/15","Nao sabe",1,"datafolha"
"17/3/15","Nao sabe",1,"datafolha"
"10/4/15","Nao sabe",1,"datafolha"
"18/6/15","Nao sabe",1,"datafolha"
"5/8/15","Nao sabe",1,"datafolha"
"26/11/15","Nao sabe",1,"datafolha"
"16/3/11","Nao sabe",12,"datafolha"
"10/6/11","Nao sabe",3,"datafolha"
"4/8/11","Nao sabe",3,"datafolha"
"19/1/12","Nao sabe",2,"datafolha"
"19/4/12","Nao sabe",1,"datafolha"
"9/8/12","Nao sabe",1,"datafolha"
"13/12/12","Nao sabe",1,"datafolha"
"21/3/13","Nao sabe",1,"datafolha"
"7/6/13","Nao sabe",1,"datafolha"
"28/6/13","Nao sabe",1,"datafolha"
"9/8/13","Nao sabe",1,"datafolha"
"11/10/13","Nao sabe",1,"datafolha"
"29/11/13","Nao sabe",1,"datafolha"
"20/2/14","Nao sabe",1,"datafolha"
"3/4/14","Nao sabe",1,"datafolha"
"8/5/14","Nao sabe",1,"datafolha"
"5/6/14","Nao sabe",1,"datafolha"
"2/7/14","Nao sabe",1,"datafolha"
"16/7/14","Nao sabe",1,"datafolha"
"15/8/14","Nao sabe",1,"datafolha"
"29/8/14","Nao sabe",1,"datafolha"
"3/9/14","Nao sabe",1,"datafolha"
"9/9/14","Nao sabe",1,"datafolha"
"18/9/14","Nao sabe",2,"datafolha"
"26/9/14","Nao sabe",1,"datafolha"
"30/9/14","Nao sabe",1,"datafolha"
"2/10/14","Nao sabe",2,"datafolha"
"9/10/14","Nao sabe",1,"datafolha"
"15/10/14","Nao sabe",1,"datafolha"
"21/10/14","Nao sabe",1,"datafolha"
"3/12/14","Nao sabe",1,"datafolha"
